Company_name,Rating,Reviews,Industry_and_Location
Grasim Industries,4.0,(3.7k),Building Material | Bharuch +243 other locations
Kyndryl,3.9,(3.7k),IT Services & Consulting | Bangalore / Bengaluru +37 other locations
Aditya Birla Capital,3.8,(3.7k),NBFC | Mumbai +340 other locations
Escorts Kubota Limited,4.1,(3.7k),Automobile | Faridabad +155 other locations
Altruist Technologies,4.4,(3.7k),BPO | Bangalore / Bengaluru +44 other locations
Maersk,4.0,(3.7k),Logistics | Chennai +49 other locations
Synechron,3.4,(3.6k),IT Services & Consulting | Pune +32 other locations
Birlasoft,3.5,(3.6k),IT Services & Consulting | Pune +50 other locations
KPIT Technologies,3.0,(3.6k),Software Product | Pune +44 other locations
Glenmark Pharmaceuticals,3.8,(3.6k),Pharma | Mumbai +185 other locations
Sodexo,4.0,(3.6k),Facility Management Services | Mumbai +157 other locations
Kotak Mahindara Life Insurance,3.5,(3.6k),Insurance | Mumbai +256 other locations
JK Cement,4.0,(3.6k),Building Material | New Delhi +329 other locations
Dabur,3.8,(3.6k),FMCG | New Delhi +320 other locations
Bharat Electronics,4.2,(3.6k),Electronics Manufacturing | Bangalore / Bengaluru +87 other locations
Godrej & Boyce Manufacturing,3.9,(3.6k),Consumer Electronics & Appliances | Mumbai +164 other locations
Samvardhana Motherson Group,3.7,(3.6k),Auto Components | Noida +94 other locations
Cogent E Services,3.2,(3.6k),BPO | Noida +55 other locations
Abbott,4.1,(3.6k),Pharma | Mumbai +214 other locations
Ipca Laboratories,3.8,(3.5k),Pharma | Mumbai +160 other locations
Aarti Industries,4.1,(3.5k),Agro Chemicals | Bharuch +58 other locations
Reliance Projects & Property Management Services,4.0,(3.5k),Other | Kolkata +619 other locations
Indian Oil Corporation,4.3,(3.5k),Oil & Gas | New Delhi +310 other locations
Cloudnine Hospital,4.4,(3.5k),Healthcare | Bangalore / Bengaluru +46 other locations
Reliance Digital,4.1,(3.5k),Retail | Mumbai +378 other locations
MRF Tyres,3.6,(3.5k),Auto Components | Chennai +193 other locations
PhonePe,4.1,(3.5k),FinTech | Bangalore / Bengaluru +394 other locations
Alkem Laboratories,3.9,(3.5k),Pharma | Mumbai +197 other locations
Johnson Controls,3.5,(3.5k),Industrial Automation | Pune +57 other locations
"NTT DATA, Inc.",3.9,(3.5k),IT Services & Consulting | Bangalore / Bengaluru +36 other locations
IGT Solutions,3.2,(3.5k),BPO | New Delhi +47 other locations
Honda Motorcycle & Scooter,4.1,(3.4k),Automobile | Gurgaon / Gurugram +298 other locations
UNO Minda,3.9,(3.4k),Auto Components | Pune +109 other locations
ArcelorMittal Nippon Steel,4.1,(3.4k),Iron & Steel | Surat +86 other locations
Vishal Mega Mart,3.8,(3.4k),Retail | New Delhi +377 other locations
[24]7.ai,3.4,(3.4k),Software Product | Bangalore / Bengaluru +36 other locations
Hindustan Coca Cola Beverages,4.0,(3.4k),Beverage | Bangalore / Bengaluru +261 other locations
UBS,3.8,(3.4k),Financial Services | Pune +19 other locations
DTDC Express,3.7,(3.4k),Logistics | New Delhi +271 other locations
Reliance Nippon Life Insurance,3.4,(3.3k),Insurance | Mumbai +484 other locations
Blinkit,3.8,(3.3k),Internet | Gurgaon / Gurugram +145 other locations
Ford Motor,4.2,(3.3k),Automobile | Chennai +131 other locations
Bajaj General Insurance Limited,3.7,(3.3k),Insurance | Pune +303 other locations
Ceat Tyres,3.9,(3.3k),Auto Components | Nagpur +141 other locations
ABB,4.1,(3.3k),Industrial Machinery | Bangalore / Bengaluru +107 other locations
HARMAN,3.8,(3.3k),Consumer Electronics & Appliances | Bangalore / Bengaluru +42 other locations
RSPL Group,4.1,(3.3k),FMCG | Kanpur +255 other locations
Barclays,3.7,(3.3k),Banking | Pune +36 other locations
AGS Health,4.0,(3.3k),Analytics & KPO | Chennai +63 other locations
NatWest Group,4.0,(3.3k),Banking | Gurgaon / Gurugram +28 other locations
TVS Credit Services Ltd,4.2,(3.2k),NBFC | Chennai +426 other locations
Niva Bupa Health Insurance Company,4.1,(3.2k),Insurance | New Delhi +319 other locations
InterGlobe Aviation,3.5,(3.2k),Aviation | New Delhi +104 other locations
Indian Air Force,4.5,(3.2k),Defence & Aerospace | New Delhi +134 other locations
Croma,3.8,(3.2k),Retail | Mumbai +192 other locations
Alstom Transportation,3.7,(3.2k),Engineering & Construction | Bangalore / Bengaluru +80 other locations
Conduent,3.4,(3.2k),BPO | Bangalore / Bengaluru +35 other locations
Tata Technologies,3.4,(3.2k),Engineering & Construction | Pune +55 other locations
Tata AIG,4.0,(3.2k),Insurance | Mumbai +260 other locations
GeBBS Healthcare Solutions,3.7,(3.2k),BPO | Mumbai +24 other locations
Allcargo Logistics,3.8,(3.2k),Logistics | Mumbai +175 other locations
Marpu Foundation,4.9,(3.1k),Non-Profit | Hyderabad / Secunderabad +61 other locations
UPL,4.1,(3.1k),Agro Chemicals | Ankleshwar +186 other locations
Max Healthcare,3.9,(3.1k),Healthcare | New Delhi +79 other locations
PepsiCo,4.0,(3.1k),Food Processing | Hyderabad / Secunderabad +276 other locations
Titan Company,4.2,(3.1k),Retail | Bangalore / Bengaluru +184 other locations
Amazon Transportation Services,4.2,(3.1k),Logistics | Hyderabad / Secunderabad +227 other locations
Dilip Buildcon,3.9,(3.1k),Engineering & Construction | Bhopal +227 other locations
Walmart,3.5,(3.1k),Retail | Bangalore / Bengaluru +92 other locations
Mankind Pharma,3.8,(3.1k),Pharma | New Delhi +246 other locations
Varroc Group,3.6,(3.1k),Auto Components | Pune +62 other locations
Jindal Stainless,4.2,(3k),Iron & Steel | Jajpur +78 other locations
Future Group,4.2,(3k),Retail | Mumbai +207 other locations
S&P Global,4.0,(3k),Analytics & KPO | Hyderabad / Secunderabad +47 other locations
MSN Laboratories,3.6,(3k),Pharma | Hyderabad / Secunderabad +105 other locations
Afcons Infrastructure,4.2,(3k),Engineering & Construction | Mumbai +121 other locations
Societe Generale Global Solution Centre,3.6,(3k),IT Services & Consulting | Bangalore / Bengaluru +24 other locations
Torrent Pharmaceuticals,4.0,(3k),Pharma | Ahmedabad +130 other locations
Quest Global,3.5,(3k),IT Services & Consulting | Bangalore / Bengaluru +49 other locations
Square Yards,3.6,(3k),Internet | Gurgaon / Gurugram +51 other locations
IDFC FIRST Bharat,4.2,(3k),Financial Services | Chennai +424 other locations
ACC,3.9,(2.9k),Building Material | Mumbai +274 other locations
CMS IT Services,3.1,(2.9k),IT Services & Consulting | Mumbai +152 other locations
HDFC Sales,3.9,(2.9k),Financial Services | Mumbai +346 other locations
I Process Services,3.8,(2.9k),Recruitment | Mumbai +404 other locations
Zensar Technologies,3.7,(2.9k),IT Services & Consulting | Pune +28 other locations
ESAF Small Finance Bank,3.6,(2.9k),Banking | Thrissur +440 other locations
DS Group,4.1,(2.9k),FMCG | Noida +279 other locations
Suzlon Group,4.0,(2.9k),Power | Pune +142 other locations
Sagility,3.9,(2.9k),BPO | Bangalore / Bengaluru +27 other locations
Ola Electric Mobility,3.3,(2.9k),Automobile | Bangalore / Bengaluru +423 other locations
Tata Elxsi,3.5,(2.9k),IT Services & Consulting | Bangalore / Bengaluru +30 other locations
Eternal Limited,3.7,(2.9k),Internet | Gurgaon / Gurugram +219 other locations
Shoppers Stop,4.0,(2.9k),Retail | Mumbai +82 other locations
Fujitsu,3.8,(2.9k),IT Services & Consulting | Pune +41 other locations
VVDN Technologies,3.6,(2.9k),IT Services & Consulting | Gurgaon / Gurugram +49 other locations
Bharat Financial Inclusion,3.7,(2.9k),Financial Services | Hyderabad / Secunderabad +497 other locations
Indus Towers,3.6,(2.9k),Telecom | Gurgaon / Gurugram +240 other locations
Nokia,4.0,(2.8k),Telecom | Bangalore / Bengaluru +166 other locations
Apollo Tyres,4.0,(2.8k),Auto Components | Chennai +180 other locations
Yazaki,3.9,(2.8k),Auto Components | Pune +93 other locations
IKS Health,3.6,(2.8k),Healthcare | Mumbai +31 other locations
Fiserv,2.9,(2.8k),FinTech | Pune +32 other locations
UnitedHealth,4.0,(2.8k),Healthcare | Hyderabad / Secunderabad +17 other locations
Shree Cement,3.8,(2.8k),Building Material | Beawar +254 other locations
Landmark Group,3.8,(2.7k),Retail | Bangalore / Bengaluru +174 other locations
Britannia,4.0,(2.7k),FMCG | Pune +302 other locations
SRF,4.1,(2.7k),Chemicals | Bharuch +68 other locations
Dalmia Bharat Cement,3.9,(2.7k),Building Material | Guwahati +252 other locations
Blue Dart Express Ltd,3.9,(2.7k),Logistics | Mumbai +279 other locations
Kansai Nerolac Paints,3.8,(2.7k),Chemicals | Mumbai +253 other locations
Exide Industries,3.4,(2.7k),Auto Components | Kolkata +200 other locations
Zepto,3.5,(2.7k),Internet | Bangalore / Bengaluru +101 other locations
Shell,3.9,(2.7k),Oil & Gas | Bangalore / Bengaluru +91 other locations
Nestlé,3.8,(2.7k),FMCG | Gurgaon / Gurugram +279 other locations
Whitehat jr,3.3,(2.7k),EdTech | Mumbai +48 other locations
KPMG Global Services,3.5,(2.7k),Management Consulting | Bangalore / Bengaluru +37 other locations
Flex,3.9,(2.7k),Electronics Manufacturing | Chennai +46 other locations
Micro Labs,3.6,(2.6k),Pharma | Bangalore / Bengaluru +151 other locations
Tata Electronics,3.9,(2.7k),Semiconductors | Hosur +50 other locations
Capita,3.5,(2.6k),BPO | Pune +31 other locations
TVS Supply Chain Solutions,3.8,(2.6k),Logistics | Chennai +153 other locations
Star Health & Allied Insurance,3.5,(2.6k),Insurance | Chennai +328 other locations
ZS,3.1,(2.6k),Management Consulting | Pune +17 other locations
KFintech,3.4,(2.6k),Financial Services | Hyderabad / Secunderabad +113 other locations
ElasticRun,3.6,(2.6k),Logistics | Pune +383 other locations
G4S,4.0,(2.6k),Law Enforcement & Security | Gurgaon / Gurugram +163 other locations
Voltas,4.0,(2.6k),Consumer Electronics & Appliances | Mumbai +206 other locations
Sonalika Tractors,3.6,(2.6k),Automobile | Hoshiarpur +194 other locations
Ajanta Pharma,3.9,(2.6k),Pharma | Mumbai +118 other locations
BlackBuck,3.7,(2.6k),Internet | Bangalore / Bengaluru +365 other locations
Blue Star,4.1,(2.6k),Consumer Electronics & Appliances | Mumbai +146 other locations
Care Health Insurance,3.6,(2.6k),Insurance | Gurgaon / Gurugram +244 other locations
Exl India,3.6,(2.6k),Logistics | New Delhi +43 other locations
Domino's Pizza,3.9,(2.6k),Hospitality | New Delhi +246 other locations
Movate,3.2,(2.5k),IT Services & Consulting | Chennai +38 other locations
Fortis Healthcare,4.0,(2.5k),Healthcare | New Delhi +69 other locations
Adani Power,3.7,(2.5k),Power | Mundra +127 other locations
NoBroker,3.0,(2.5k),Internet | Bangalore / Bengaluru +47 other locations
ACT Fibernet,3.9,(2.5k),Telecom | Hyderabad / Secunderabad +57 other locations
Gallagher,3.7,(2.5k),Insurance | Bangalore / Bengaluru +29 other locations
Sahrudaya Healthcare (Medicover Hospitals),4.4,(2.5k),Healthcare | Hyderabad / Secunderabad +45 other locations
DBS Bank,3.7,(2.5k),Banking | Hyderabad / Secunderabad +177 other locations
Bajaj Electricals,3.9,(2.5k),Consumer Electronics & Appliances | Mumbai +233 other locations
Sterlite Technologies,3.8,(2.5k),Hardware & Networking | Aurangabad +101 other locations
Foundever,3.4,(2.5k),BPO | Hyderabad / Secunderabad +22 other locations
V-Mart,4.1,(2.5k),Retail | Gurgaon / Gurugram +284 other locations
Sammaan Capital Limited,3.8,(2.5k),NBFC | Gurgaon / Gurugram +200 other locations
Alldigi Tech,3.9,(2.5k),BPO | Chennai +36 other locations
Tata Advanced Systems,3.7,(2.5k),Defence & Aerospace | Bangalore / Bengaluru +56 other locations
